sample	sex
HG00096	1
HG00097	2
HG00099	2
HG00126	1
HG00128	2
HG00133	2
HG00140	1
HG00146	2
HG00171	2
HG002	1
HG00232	2
HG00235	2
HG00253	2
HG00268	2
HG00272	2
HG00280	1
HG00290	1
HG00320	2
HG00321	1
HG00323	2
HG00329	1
HG00344	2
HG00350	2
HG00358	1
HG00408	2
HG00423	2
HG00438	2
HG005	1
HG00512	1
HG00513	2
HG00514	2
HG00544	2
HG00558	2
HG00597	2
HG00609	1
HG00621	1
HG00639	2
HG00642	1
HG00658	1
HG00673	1
HG00706	1
HG00731	1
HG00732	2
HG00733	2
HG00735	2
HG00738	1
HG00741	2
HG00864	2
HG00867	2
HG01071	2
HG01074	1
HG01081	2
HG01099	1
HG01106	1
HG01109	1
HG01114	2
HG01123	2
HG01150	2
HG01167	1
HG01175	2
HG01192	1
HG01243	1
HG01252	1
HG01255	1
HG01258	1
HG01261	1
HG01346	2
HG01352	2
HG01358	1
HG01361	2
HG01433	1
HG01457	1
HG01496	2
HG01505	1
HG01530	1
HG01573	2
HG01596	1
HG01784	2
HG01786	2
HG01884	2
HG01890	1
HG01891	2
HG01928	1
HG01934	1
HG01940	2
HG01943	1
HG01952	1
HG01960	2
HG01969	2
HG01975	2
HG01978	2
HG01981	2
HG01993	2
HG02004	2
HG02011	1
HG02015	1
HG02018	2
HG02027	1
HG02040	1
HG02055	1
HG02056	1
HG02059	2
HG02071	1
HG02074	1
HG02080	2
HG02083	1
HG02106	2
HG02109	2
HG02129	1
HG02132	1
HG02135	1
HG02145	1
HG02148	2
HG02155	2
HG02165	2
HG02178	2
HG02257	2
HG02258	1
HG02273	2
HG02280	2
HG02282	2
HG02293	2
HG02300	2
HG02391	1
HG02392	1
HG02451	2
HG02486	1
HG02492	1
HG02514	1
HG02523	2
HG02554	1
HG02559	2
HG02572	1
HG02583	2
HG02587	2
HG02602	1
HG02615	2
HG02622	2
HG02630	2
HG02647	1
HG02666	1
HG02668	1
HG02683	2
HG02698	1
HG02717	1
HG02723	2
HG02735	1
HG02738	1
HG02769	2
HG02809	2
HG02818	2
HG02841	2
HG02886	2
HG02922	2
HG02953	1
HG02965	1
HG02976	2
HG02984	1
HG03009	1
HG03017	1
HG03041	2
HG03050	1
HG03065	1
HG03098	1
HG03130	1
HG03139	1
HG03195	2
HG03209	1
HG03225	1
HG03239	2
HG03248	1
HG03270	2
HG03369	2
HG03371	1
HG03452	2
HG03453	2
HG03456	1
HG03458	2
HG03470	2
HG03471	1
HG03486	2
HG03492	1
HG03516	2
HG03520	2
HG03521	1
HG03540	2
HG03579	1
HG03583	2
HG03654	1
HG03669	2
HG03683	2
HG03688	1
HG03704	2
HG03710	1
HG03732	1
HG03742	1
HG03784	2
HG03804	2
HG03807	2
HG03816	2
HG03831	2
HG03834	2
HG03874	2
HG03927	2
HG03942	1
HG04036	2
HG04115	1
HG04153	2
HG04157	1
HG04160	1
HG04184	2
HG04187	1
HG04199	1
HG04204	1
HG04217	2
HG04228	1
HG06807	2
NA12329	2
NA18505	2
NA18508	2
NA18522	1
NA18534	1
NA18565	2
NA18570	2
NA18608	1
NA18612	1
NA18620	1
NA18747	1
NA18879	1
NA18906	2
NA18939	2
NA18940	1
NA18943	1
NA18944	1
NA18945	1
NA18948	1
NA18952	1
NA18959	1
NA18960	1
NA18967	1
NA18970	1
NA18971	1
NA18974	1
NA18976	2
NA18982	1
NA18983	1
NA18989	1
NA19036	2
NA19043	1
NA19087	2
NA19129	2
NA19159	2
NA19185	2
NA19238	2
NA19239	1
NA19240	2
NA19317	1
NA19331	1
NA19338	2
NA19347	1
NA19384	1
NA19391	2
NA19434	2
NA19443	1
NA19468	2
NA19650	1
NA19682	1
NA19700	1
NA19705	1
NA19776	2
NA19835	2
NA19836	2
NA19909	2
NA19983	2
NA20129	2
NA20282	2
NA20346	1
NA20355	2
NA20503	2
NA20509	1
NA20752	1
NA20762	1
NA20799	2
NA20805	1
NA20806	1
NA20809	1
NA20827	1
NA20847	2
NA20850	1
NA20870	1
NA20905	1
NA21093	1
NA21102	2
NA21106	2
NA21110	2
NA21144	2
NA21309	2
NA21487	2
CHM13	1
GRCh38	1
